observation,datetime,prediction
16666.711776068783,2016-06-30,15218.322
17149.99407138945,2016-07-01,17583.158
15426.428948522438,2016-07-02,20573.496
12699.255076708409,2016-07-03,21680.947
10895.199322989583,2016-07-04,20924.78
10204.536814987807,2016-07-05,19305.719
11008.521403228144,2016-07-06,17605.21
12893.87904969532,2016-07-07,16840.305
15241.521668300236,2016-07-08,17003.045
17386.997361976428,2016-07-09,17582.273
18507.746310143197,2016-07-10,18473.238
18767.556650291528,2016-07-11,19544.242
19763.90942207949,2016-07-12,20391.707
20481.310447919423,2016-07-13,21699.836
19660.261573987438,2016-07-14,23569.098
18579.75051743642,2016-07-15,25102.895
17865.439891517555,2016-07-16,25095.355
17317.136874624273,2016-07-17,24525.395
17108.323654293556,2016-07-18,23779.566000000006
17275.28202370664,2016-07-19,22916.484
17345.06571104647,2016-07-20,22303.816000000006
16068.08881291508,2016-07-21,21936.355
14874.753760492895,2016-07-22,21605.238
13861.91319239224,2016-07-23,21187.46
12723.509398670549,2016-07-24,20346.314
12254.352773769166,2016-07-25,19507.129
12409.846987301924,2016-07-26,18961.932
12493.944032578973,2016-07-27,18581.547
13139.051678363521,2016-07-28,18596.666
13361.502335454212,2016-07-29,18540.3
12979.450414098095,2016-07-30,18206.752
12182.887231581804,2016-07-31,17878.877
11294.158827590989,2016-08-01,17645.172
10940.464124250588,2016-08-02,17516.012
12016.87435535322,2016-08-03,17410.145
15413.187642424908,2016-08-04,17787.94
18637.44547069972,2016-08-05,18246.354
18782.038870094384,2016-08-06,18714.816000000006
17080.56900540762,2016-08-07,19561.893
15110.06651467139,2016-08-08,20454.002
14102.538019555559,2016-08-09,20683.117
13824.092111310012,2016-08-10,20931.355
14499.177361412296,2016-08-11,21529.285
16366.154853428514,2016-08-12,22384.7
18985.323514829724,2016-08-13,22654.727000000006
21072.7571368221,2016-08-14,22367.041
22262.934444092207,2016-08-15,22909.76
21795.69173653179,2016-08-16,24185.527
21379.032531329096,2016-08-17,25118.066000000006
22309.90665328533,2016-08-18,25329.271
22829.5720847072,2016-08-19,25713.639
23852.90173883282,2016-08-20,26075.158
25927.059879085195,2016-08-21,26414.688
26805.94752582277,2016-08-22,26995.857000000004
27061.948421658097,2016-08-23,28007.553
28236.353111087905,2016-08-24,29654.12
29238.241018399527,2016-08-25,31393.482000000004
28726.522225495894,2016-08-26,33012.64
27836.587868088307,2016-08-27,34914.91
27164.658723531764,2016-08-28,36833.3
