discharge,datetime
760.0,1967-07-06
750.0,1967-07-07
1410.0,1967-07-08
2450.0,1967-07-09
2710.0,1967-07-10
2820.0,1967-07-11
3110.0,1967-07-12
3460.0,1967-07-13
3550.0,1967-07-14
3650.0,1967-07-15
3080.0,1967-07-16
2360.0,1967-07-17
2100.0,1967-07-18
2140.0,1967-07-19
1820.0,1967-07-20
1470.0,1967-07-21
1300.0,1967-07-22
1220.0,1967-07-23
1350.0,1967-07-24
1400.0,1967-07-25
1960.0,1967-07-26
2360.0,1967-07-27
2890.0,1967-07-28
2820.0,1967-07-29
3140.0,1967-07-30
3350.0,1967-07-31
3120.0,1967-08-01
3050.0,1967-08-02
3150.0,1967-08-03
3060.0,1967-08-04
3110.0,1967-08-05
3890.0,1967-08-06
4130.0,1967-08-07
4000.0,1967-08-08
4400.0,1967-08-09
4570.0,1967-08-10
4180.0,1967-08-11
3560.0,1967-08-12
2780.0,1967-08-13
2350.0,1967-08-14
2020.0,1967-08-15
2760.0,1967-08-16
3890.0,1967-08-17
4070.0,1967-08-18
4190.0,1967-08-19
3850.0,1967-08-20
3620.0,1967-08-21
3250.0,1967-08-22
3980.0,1967-08-23
3320.0,1967-08-24
3860.0,1967-08-25
2820.0,1967-08-26
2830.0,1967-08-27
2720.0,1967-08-28
2920.0,1967-08-29
3440.0,1967-08-30
3590.0,1967-08-31
3620.0,1967-09-01
3700.0,1967-09-02
3770.0,1967-09-03
3160.0,1967-09-04
3030.0,1967-09-05
3120.0,1967-09-06
2780.0,1967-09-07
2410.0,1967-09-08
2350.0,1967-09-09
2780.0,1967-09-10
3460.0,1967-09-11
3110.0,1967-09-12
4430.0,1967-09-23
4670.0,1967-09-24
4370.0,1967-09-25
3770.0,1967-09-26
3410.0,1967-09-27
3460.0,1967-09-28
3250.0,1967-09-29
3140.0,1967-09-30
4480.0,1967-10-01
3410.0,1967-10-02
3850.0,1967-10-03
3140.0,1967-10-04
2250.0,1967-10-05
2050.0,1967-10-06
2400.0,1967-10-07
1980.0,1967-10-08
1790.0,1967-10-09
2480.0,1967-10-10
4520.0,1967-10-11
2540.0,1967-10-12
2370.0,1967-10-13
2410.0,1967-10-14
2080.0,1967-10-15
1730.0,1967-10-16
1600.0,1967-10-17
2020.0,1967-10-18
1930.0,1967-10-19
1530.0,1967-10-20
1360.0,1967-10-21
1270.0,1967-10-22
1190.0,1967-10-23
1220.0,1967-10-24
1210.0,1967-10-25
1210.0,1967-10-26
1180.0,1967-10-27
470.0,1967-11-28
456.0,1967-11-29
460.0,1967-11-30
496.0,1967-12-01
465.0,1967-12-02
442.0,1967-12-03
560.0,1967-12-04
585.0,1967-12-05
590.0,1967-12-06
560.0,1967-12-07
465.0,1967-12-08
442.0,1967-12-09
442.0,1967-12-10
660.0,1967-12-11
640.0,1967-12-12
620.0,1967-12-13
720.0,1967-12-14
640.0,1967-12-15
620.0,1967-12-16
560.0,1967-12-17
510.0,1967-12-18
492.0,1967-12-19
465.0,1967-12-20
452.0,1967-12-21
420.0,1967-12-22
411.0,1967-12-23
406.0,1967-12-24
402.0,1967-12-25
384.0,1967-12-26
366.0,1967-12-27
366.0,1967-12-28
357.0,1967-12-29
348.0,1967-12-30
348.0,1967-12-31
375.0,1968-01-01
366.0,1968-01-02
357.0,1968-01-03
348.0,1968-01-04
348.0,1968-01-05
344.0,1968-01-06
339.0,1968-01-07
339.0,1968-01-08
330.0,1968-01-09
314.0,1968-01-10
310.0,1968-01-11
306.0,1968-01-12
306.0,1968-01-13
298.0,1968-01-14
290.0,1968-01-15
294.0,1968-01-16
298.0,1968-01-17
283.0,1968-01-18
280.0,1968-01-19
276.0,1968-01-20
272.0,1968-01-21
269.0,1968-01-22
276.0,1968-01-23
276.0,1968-01-24
269.0,1968-01-25
262.0,1968-01-26
262.0,1968-01-27
255.0,1968-01-28
248.0,1968-01-29
241.0,1968-01-30
252.0,1968-01-31
252.0,1968-02-01
248.0,1968-02-02
241.0,1968-02-03
230.0,1968-02-04
238.0,1968-02-05
234.0,1968-02-06
227.0,1968-02-07
224.0,1968-02-08
234.0,1968-02-09
227.0,1968-02-10
220.0,1968-02-11
227.0,1968-02-12
224.0,1968-02-13
224.0,1968-02-14
220.0,1968-02-15
224.0,1968-02-16
220.0,1968-02-17
220.0,1968-02-18
234.0,1968-02-19
227.0,1968-02-20
90.0,1968-02-21
88.0,1968-02-22
90.0,1968-02-23
88.0,1968-02-24
86.0,1968-02-25
85.0,1968-02-26
85.0,1968-02-27
85.0,1968-02-28
86.0,1968-02-29
87.0,1968-03-01
86.0,1968-03-02
85.0,1968-03-03
86.0,1968-03-04
84.0,1968-03-05
81.0,1968-03-06
83.0,1968-03-07
82.0,1968-03-08
81.0,1968-03-09
80.0,1968-03-10
80.0,1968-03-11
78.0,1968-03-12
77.0,1968-03-13
75.0,1968-03-14
80.0,1968-03-15
80.0,1968-03-16
81.0,1968-03-17
80.0,1968-03-18
78.0,1968-03-19
78.0,1968-03-20
76.0,1968-03-21
77.0,1968-03-22
76.0,1968-03-23
75.0,1968-03-24
75.0,1968-03-25
77.0,1968-03-26
76.0,1968-03-27
78.0,1968-03-28
81.0,1968-03-29
80.0,1968-03-30
78.0,1968-03-31
489.5897911467849,2011-01-01
479.50982538588437,2011-01-02
472.84120397325904,2011-01-03
469.52232568147224,2011-01-04
469.52232568147224,2011-01-05
466.2137471774481,2011-01-06
462.9154771465424,2011-01-07
466.2137471774481,2011-01-08
472.84120397325904,2011-01-09
476.1703734089621,2011-01-10
496.36102513033416,2011-01-11
486.2195427562108,2011-01-12
476.1703734089621,2011-01-13
489.5897911467849,2011-01-14
479.50982538588437,2011-01-15
469.52232568147224,2011-01-16
462.9154771465424,2011-01-17
456.3498974552548,2011-01-18
459.62752431598614,2011-01-19
469.52232568147224,2011-01-20
459.62752431598614,2011-01-21
453.0826053764428,2011-01-22
449.825656934643,2011-01-23
446.57906102833164,2011-01-24
443.3428265997569,2011-01-25
443.3428265997569,2011-01-26
440.11696263533344,2011-01-27
436.9014781660422,2011-01-28
436.9014781660422,2011-01-29
436.9014781660422,2011-01-30
436.9014781660422,2011-01-31
443.3428265997569,2011-02-01
456.3498974552548,2011-02-02
459.62752431598614,2011-02-03
459.62752431598614,2011-02-04
453.0826053764428,2011-02-05
446.57906102833164,2011-02-06
440.11696263533344,2011-02-07
433.6963822678354,2011-02-08
430.5016840620468,2011-02-09
427.317392715807,2011-02-10
424.1435174424645,2011-02-11
420.9800675020138,2011-02-12
420.9800675020138,2011-02-13
417.8270522015271,2011-02-14
414.6844808955926,2011-02-15
414.6844808955926,2011-02-16
414.6844808955926,2011-02-17
411.5523629867595,2011-02-18
408.4307079259882,2011-02-19
408.4307079259882,2011-02-20
405.3195252131075,2011-02-21
405.3195252131075,2011-02-22
402.2188243972771,2011-02-23
402.2188243972771,2011-02-24
402.2188243972771,2011-02-25
399.1286150774569,2011-02-26
396.04890690288295,2011-02-27
